partner_key,friendly_partner_name,countries_operate_iso2,regions_operate,chipset,oem
bt_uk,BT,UK,EMEA,,
claro_br,Claro,BR,LATAM,,
claro_zte_br,Claro,BR,LATAM,,
clarokaon_br,Claro,BR,LATAM,,
dt_de,DT,DE,EMEA,,
fetch_au,Fetch,AU,APAC,,
foxtel_au,Foxtel,AU,APAC,,
free_fr,Free,FR,EMEA,,
kpn_nl,KPN,NL,EMEA,,
movistar_es,Movistar Spain,ES,EMEA,,
telefonica_es,Movistar Spain,ES,EMEA,,
movistar_ar,Movistar HispAm,AR,LATAM,,
movistar_cl,Movistar HispAm,CL,LATAM,,
movistar_co,Movistar HispAm,CO,LATAM,,
netia_pl,Vectra,PL,EMEA,,
nos_pt,NOS,PT,EMEA,,
nuuday_dk,Nuuday,DK,EMEA,,
orange_fr,Orange,FR,EMEA,,
polsat_pl,Polsat,PL,EMEA,,
sfr_fr,SFR,FR,EMEA,,
sunrise_ch,Sunrise,CH,EMEA,,
telenet_be,Telenet,BE,EMEA,,
temis_ar,Telef—nica,AR,LATAM,,
temis_br,Telef—nica,BR,LATAM,,
temis_cl,Telef—nica,CL,LATAM,,
temis_co,Telef—nica,CO,LATAM,,
temis_pe,Telef—nica,PE,LATAM,,
titan_novatek,Philips TVs,Worldwide,Worldwide,Novatek,
titan_novatek_latam,Philips TVs,AR;BR;CL;CO;MX;PE,LATAM,Novatek,
titan_mediatek_latam,Philips TVs,AR;BR;CL;CO;MX;PE,LATAM,MediaTek,
titan_mediatek_emea,Philips TVs,BE;CH;DE;DK;ES;FR;GR;IE;NL;PL;PT;RO;UK,EMEA,MediaTek,
tivo_us,TiVo,US,NA,,
tivo_element_us,TiVo,US,NA,,Element
tivo_evolution_emea,TiVo,BE;CH;DE;DK;ES;FR;GR;IE;NL;PL;PT;RO;UK,EMEA,,Evolution
tivo_thomson_emea,TiVo,BE;CH;DE;DK;ES;FR;GR;IE;NL;PL;PT;RO;UK,EMEA,,Thomson
tivo_skyworth_emea,TiVo,BE;CH;DE;DK;ES;FR;GR;IE;NL;PL;PT;RO;UK,EMEA,,Skyworth
totalplay_mx,Totalplay,MX,LATAM,,
vestel_mediatek_emea,Vestel,BE;CH;DE;DK;ES;FR;GR;IE;NL;PL;PT;RO;UK,EMEA,MediaTek,
virginmedia_uk,Virgin Media,UK,EMEA,,
virginmedia_ie,Virgin Media,IE,EMEA,,
vivo_br,Vivo,BR,LATAM,,
vodafone_es,Vodafone,ES,EMEA,,
vodafone_pt,Vodafone,PT,EMEA,,
vodafone_gr,Vodafone,GR,EMEA,,
vodafone_ro,Vodafone,RO,EMEA,,
vodafone_de,Vodafone,DE,EMEA,,
ziggo_nl,VodafoneZiggo,NL,EMEA,,